1	Shai Gilgeous-Alexander	26	OKC	PG	48	48	34.1	11.6	21.6	.535	2.0	5.7	.352	9.6	16.0	.601	.581	7.7	8.5	.900	0.9	4.4	5.3	6.0	2.0	1.0	2.7	2.2	32.8	
2	Giannis Antetokounmpo	30	MIL	PF	41	41	34.9	12.7	20.9	.608	0.1	0.8	.188	12.6	20.1	.624	.611	6.2	10.7	.577	2.3	9.9	12.2	5.9	0.8	1.3	3.4	2.4	31.8	
3	Nikola Jokić	29	DEN	C	46	46	36.2	11.3	19.7	.572	2.1	4.5	.462	9.2	15.2	.604	.624	5.0	6.2	.814	3.0	9.7	12.7	10.3	1.8	0.7	3.1	2.1	29.7	
4	LaMelo Ball	23	CHO	PG	31	31	33.3	9.7	23.3	.419	4.1	12.3	.337	5.6	11.0	.510	.508	4.5	5.5	.820	1.0	4.3	5.3	7.3	1.4	0.3	3.7	3.5	28.2	
5	Luka Dončić	25	DAL	PG	22	22	35.7	9.8	21.2	.464	3.4	9.6	.354	6.4	11.5	.555	.544	5.1	6.6	.767	0.7	7.6	8.3	7.8	2.0	0.4	3.4	2.6	28.1	
6	Tyrese Maxey	24	PHI	PG	43	43	38.0	9.7	21.8	.444	3.3	9.7	.345	6.3	12.1	.523	.520	5.2	5.9	.875	0.3	3.2	3.4	6.2	1.9	0.4	2.4	2.3	27.9	
7	Anthony Edwards	23	MIN	SG	51	51	36.7	9.1	20.5	.446	4.2	9.9	.421	5.0	10.6	.470	.547	4.8	5.7	.844	0.8	5.0	5.8	4.5	1.1	0.7	3.5	2.0	27.2	
8	Kevin Durant	36	PHO	PF	39	39	36.2	9.8	18.6	.524	2.4	5.9	.398	7.4	12.7	.583	.587	5.0	6.1	.827	0.4	5.7	6.1	4.2	0.8	1.3	3.0	1.7	26.9	
9	Jayson Tatum	26	BOS	PF	49	49	36.3	8.9	19.8	.451	3.6	10.0	.357	5.4	9.8	.548	.541	5.2	6.4	.801	0.6	8.0	8.7	5.7	1.2	0.5	2.9	2.2	26.6	
10	Jalen Brunson	28	NYK	PG	50	50	35.3	9.0	18.4	.489	2.3	5.8	.397	6.7	12.6	.532	.552	5.7	7.0	.813	0.4	2.5	2.9	7.5	1.0	0.1	2.4	2.2	26.1	
11	Devin Booker	28	PHO	SG	45	45	36.9	8.4	18.7	.450	2.6	7.7	.342	5.8	11.0	.526	.521	6.5	7.2	.893	0.9	3.0	4.0	6.6	1.1	0.3	2.7	2.4	26.0	
12	Anthony Davis	31	LAL	C	42	42	34.3	9.5	18.0	.528	0.7	2.2	.298	8.9	15.8	.560	.546	6.0	7.6	.788	2.8	9.0	11.9	3.4	1.3	2.1	2.2	2.0	25.7	
13	Cade Cunningham	23	DET	PG	47	47	35.7	9.6	21.1	.453	2.3	6.4	.354	7.3	14.7	.496	.507	4.2	4.9	.845	0.9	5.4	6.3	9.4	1.0	0.7	4.4	2.7	25.6	
14	Damian Lillard	34	MIL	PG	41	41	36.3	7.7	17.3	.447	3.4	8.9	.379	4.4	8.4	.519	.544	6.3	6.8	.921	0.5	4.0	4.6	7.4	1.2	0.2	2.8	1.8	25.1	
15	De'Aaron Fox	27	2TM	PG	46	46	37.0	9.2	19.7	.470	2.0	6.4	.321	7.2	13.3	.541	.522	4.4	5.3	.829	1.0	4.0	5.0	6.3	1.5	0.4	2.9	2.6	25.0	
16	De'Aaron Fox	27	SAC	PG	45	45	37.0	9.2	19.6	.469	2.0	6.4	.322	7.2	13.3	.539	.521	4.5	5.5	.829	1.0	4.0	5.0	6.1	1.5	0.4	3.0	2.6	25.0	
17	De'Aaron Fox	27	SAS	PG	1	1	37.0	11.0	22.0	.500	2.0	7.0	.286	9.0	15.0	.600	.545	0.0	0.0		1.0	4.0	5.0	13.0	3.0	0.0	1.0	3.0	24.0	
18	Franz Wagner	23	ORL	SF	33	33	32.8	8.8	19.2	.460	2.0	6.4	.319	6.8	12.9	.529	.513	5.1	5.8	.874	0.9	4.4	5.4	5.1	1.5	0.5	2.2	2.5	24.8	
19	Joel Embiid	30	PHI	C	14	14	29.9	7.9	17.3	.459	1.2	3.8	.321	6.7	13.5	.497	.494	7.6	8.6	.884	1.9	6.3	8.1	4.3	0.9	0.9	3.3	2.2	24.7	
20	Cam Thomas	23	BRK	SG	19	17	32.3	7.9	17.7	.448	2.8	7.6	.375	5.1	10.2	.503	.528	5.9	6.8	.876	0.5	3.1	3.6	3.4	0.7	0.1	2.7	1.9	24.7	
21	Victor Wembanyama	21	SAS	C	42	42	33.0	9.0	18.8	.478	3.2	8.9	.358	5.8	9.9	.586	.563	3.5	4.1	.839	1.8	9.1	10.9	3.6	1.1	3.9	3.4	2.3	24.6	
22	LeBron James	40	LAL	SF	46	46	34.7	9.4	18.2	.516	2.2	5.6	.391	7.2	12.7	.570	.575	3.5	4.6	.767	0.9	6.9	7.8	9.0	0.9	0.5	3.8	1.4	24.5	
23	Kyrie Irving	32	DAL	SG	41	41	36.2	8.9	18.6	.479	2.9	7.1	.412	6.0	11.5	.520	.558	3.6	4.0	.903	1.1	3.6	4.7	4.8	1.3	0.3	2.3	2.0	24.4	
24	Karl-Anthony Towns	29	NYK	C	46	46	34.7	8.8	16.5	.532	2.0	4.6	.423	6.8	11.9	.575	.592	4.8	5.7	.840	3.2	10.4	13.6	3.3	1.0	0.8	2.5	3.5	24.3	
25	Tyler Herro	25	MIA	SG	48	48	35.5	8.3	17.6	.469	3.8	9.7	.393	4.5	7.9	.563	.577	3.6	4.1	.859	0.4	5.3	5.6	5.5	0.7	0.1	2.6	1.4	23.9	
26	Norman Powell	31	LAC	SG	42	42	33.3	8.3	16.8	.496	3.4	7.9	.431	4.9	8.9	.553	.597	3.9	4.7	.818	0.4	3.2	3.6	2.2	1.3	0.2	2.0	1.9	23.9	
27	Donovan Mitchell	28	CLE	SG	48	48	31.3	8.4	18.6	.451	3.7	9.3	.395	4.7	9.3	.507	.549	3.4	4.1	.837	0.7	3.8	4.4	4.7	1.4	0.2	2.0	2.0	23.8	
28	Zach LaVine	29	2TM	SF	44	44	34.1	8.5	16.9	.505	3.2	7.2	.437	5.4	9.6	.557	.599	3.5	4.4	.797	0.3	4.4	4.7	4.4	0.9	0.3	2.8	1.5	23.7	
29	Zach LaVine	29	CHI	SF	42	42	34.1	8.6	16.9	.511	3.2	7.3	.446	5.4	9.6	.560	.607	3.5	4.3	.797	0.3	4.5	4.8	4.5	0.9	0.2	2.9	1.5	24.0	
30	Zach LaVine	29	SAC	SG	2	2	33.5	6.0	16.0	.375	1.5	6.5	.231	4.5	9.5	.474	.422	4.0	5.0	.800	0.0	2.5	2.5	2.0	0.5	0.5	0.5	1.5	17.5	
